Attendance,LMS_Activity,Quiz_Score,Assignment_Score,Engagement_Level
98,51,47,74,Low
88,94,64,85,High
74,50,85,65,Low
67,16,43,90,Low
80,94,72,44,Medium
98,17,40,68,Low
78,66,58,76,Medium
82,86,70,59,Medium
70,93,55,88,Medium
70,64,53,60,Low
83,47,92,49,Low
95,80,87,44,Medium
99,72,44,75,Medium
83,9,80,45,Low
62,41,65,65,Low
81,76,67,43,Low
61,96,41,78,Low
83,35,89,78,Medium
89,13,45,89,Low
97,55,48,74,Medium
61,33,72,40,Low
80,82,80,63,Medium
92,44,64,96,Medium
71,45,87,75,Medium
81,90,52,45,Low
84,15,48,80,Low
86,27,92,93,Medium
87,5,52,85,Low
75,50,70,99,Medium
74,25,80,83,Low
62,94,50,99,Medium
96,40,43,96,Medium
66,58,73,70,Low
80,91,100,59,Medium
68,61,77,63,Low
98,5,85,64,Low
77,67,43,75,Low
63,58,77,60,Low
84,59,58,69,Low
73,44,45,63,Low
68,19,73,83,Low
85,25,57,81,Low
61,51,52,69,Low
79,77,80,61,Medium
87,57,62,67,Low
66,13,58,46,Low
67,78,84,74,Medium
94,56,50,94,Medium
73,61,40,67,Low
76,30,63,53,Low
95,45,93,95,High
99,39,46,49,Low
63,67,64,55,Low
61,29,60,55,Low
65,94,54,93,Medium
63,79,40,70,Low
88,42,51,81,Low
77,6,97,64,Low
85,11,46,52,Low
93,86,54,45,Low
69,95,60,83,Medium
95,38,58,48,Low
73,95,99,84,High
90,21,68,75,Low
74,47,64,95,Medium
67,63,72,82,Medium
73,55,88,59,Low
82,58,71,57,Low
99,28,88,97,Medium
80,29,74,82,Low
75,75,83,96,High
77,56,77,60,Low
83,74,65,43,Low
85,92,50,89,Medium
84,37,74,72,Low
100,53,47,66,Low
88,33,85,46,Low
74,67,53,45,Low
60,26,49,54,Low
84,30,41,57,Low
66,32,85,71,Low
68,89,48,95,Medium
83,53,42,50,Low
60,75,60,59,Low
67,85,65,63,Low
83,88,47,54,Low
70,53,87,87,Medium
76,24,41,46,Low
67,90,45,60,Low
94,96,67,81,High
94,67,92,65,Medium
92,65,68,83,Medium
64,53,65,95,Low
98,75,64,53,Medium
100,5,51,96,Low
87,100,44,76,Medium
66,17,73,97,Low
68,98,87,60,Medium
67,91,76,57,Medium
71,55,54,44,Low
93,60,83,42,Medium
92,87,75,62,Medium
82,66,54,65,Low
83,36,82,76,Medium
96,34,87,63,Medium
94,33,62,88,Medium
99,53,45,58,Low
81,49,85,90,Medium
86,97,89,64,High
94,34,83,60,Medium
60,20,98,51,Low
94,44,82,96,Medium
96,23,84,100,Medium
73,22,60,80,Low
62,5,62,72,Low
60,82,82,89,Medium
64,51,94,92,Medium
85,70,55,43,Low
73,96,86,81,High
98,98,92,96,High
86,42,99,46,Medium
68,55,54,61,Low
74,67,64,94,Medium
74,8,75,72,Low
85,5,50,56,Low
72,12,90,63,Low
91,33,54,100,Medium
98,59,43,100,Medium
91,7,60,73,Low
63,36,52,67,Low
89,14,61,97,Low
96,78,58,82,Medium
82,87,73,80,Medium
98,38,53,78,Low
74,91,100,61,Medium
88,59,43,88,Medium
95,96,87,56,High
72,36,92,73,Medium
91,54,91,45,Medium
66,11,85,85,Low
81,97,66,45,Medium
87,12,68,73,Low
61,69,86,40,Low
65,61,67,49,Low
87,71,74,60,Medium
87,92,47,44,Low
79,91,55,41,Low
89,63,81,61,Medium
70,76,75,87,Medium
87,58,69,96,Medium
84,71,57,41,Low
98,55,41,49,Low
92,96,88,73,High
60,12,52,55,Low
86,38,43,87,Low
72,39,65,90,Low
100,100,64,100,High
62,92,69,78,Medium
98,82,50,61,Medium
65,36,46,51,Low
67,50,70,63,Low
86,20,83,86,Medium
68,72,49,79,Low
96,41,78,77,Medium
92,58,52,99,Medium
83,89,70,98,High
74,18,46,49,Low
91,99,95,74,High
91,59,88,90,High
83,52,81,88,Medium
100,86,100,71,High
71,11,81,46,Low
98,78,95,60,High
61,11,75,59,Low
62,37,59,65,Low
96,27,43,43,Low
76,89,93,85,High
61,23,46,91,Low
61,23,93,61,Low
87,40,40,54,Low
82,33,83,95,Medium
96,64,95,79,High
91,86,84,60,Medium
92,6,81,54,Low
60,5,86,61,Low
78,51,98,91,Medium
61,73,52,67,Low
85,24,94,53,Low
91,15,61,66,Low
65,6,93,100,Low
91,71,60,80,Medium
63,91,61,79,Medium
70,16,67,97,Low
76,24,48,67,Low
97,9,65,65,Low
83,41,48,88,Low
64,42,54,41,Low
93,98,49,64,Medium
65,13,63,95,Low
81,57,97,42,Medium
70,48,96,47,Low
75,90,100,83,High
92,28,81,72,Medium
68,85,47,81,Low
65,78,63,91,Medium
75,34,55,74,Low
88,63,88,45,Medium
62,91,65,78,Medium
79,100,66,91,High
95,85,76,62,Medium
78,85,43,64,Low
85,18,89,98,Medium
62,13,63,89,Low
78,44,58,82,Low
79,70,75,58,Medium
91,29,99,44,Low
66,77,78,90,Medium
100,26,49,50,Low
92,8,64,95,Low
99,30,57,51,Low
98,62,58,49,Low
77,33,75,47,Low
99,91,49,63,Medium
60,41,72,99,Low
70,79,94,67,Medium
87,74,89,80,High
84,22,44,75,Low
82,89,86,76,High
90,46,88,60,Medium
89,45,74,47,Low
94,42,83,94,Medium
66,38,73,48,Low
75,21,72,86,Low
85,41,94,54,Medium
61,29,60,87,Low
60,80,56,85,Low
71,91,61,79,Medium
64,90,87,57,Medium
96,89,76,81,High
91,31,54,99,Medium
68,61,74,59,Low
100,35,67,45,Low
94,10,46,51,Low
78,95,71,41,Medium
75,44,50,46,Low
62,16,49,55,Low
79,57,48,42,Low
83,75,53,84,Medium
92,14,52,42,Low
83,49,100,66,Medium
70,21,96,89,Medium
67,30,64,82,Low
95,89,41,79,Medium
97,96,74,77,High
99,66,46,72,Medium
79,50,60,67,Low
94,68,57,40,Low
84,6,42,94,Low
94,58,81,47,Medium
84,69,93,76,Medium
88,55,100,71,Medium
